CountryName	HIV_Prev_W_15	UnmetNeedMM	HSV-2 prevalence 2012	HPV_Prev15
NICARAGUA	0.001	0.113	0.184	0.13
NIGER	0.0037	0.22	0.38	0.196
NIGERIA	0.0345	0.263	0.38	0.262
NORTH KOREA	0	0.175	0.085	0.107
NORWAY	0.0008	0.13	0.098	0.153
OMAN	0.0008	0.424	0.126	0.017
PAKISTAN	0.0003	0.312	0.126	0.071
PALAU	0.0011	0.278	0.119	0.285
PANAMA	0.0034	0.226	0.184	0.13
PAPUA NEW GUINEA	0.0071	0.333	0.119	0.053
PARAGUAY	0.0023	0.158	0.184	0.175
PERU	0.0019	0.309	0.184	0.06
PHILIPPINES	0	0.355	0.119	0.088
POLAND	0.0004	0.328	0.098	0.15
PORTUGAL	0.0031	0.134	0.098	0.182
QATAR	0.0008	0.257	0.126	0.017
ROMANIA	0.0008	0.265	0.098	0.214
RUSSIA	0.0041	0.237	0.098	0.291
RWANDA	0.0323	0.289	0.38	0.336
SAINT KITTS & NEVIS	0.009	0.205	0.184	0.354
SAINT LUCIA	0.009	0.177	0.184	0.354
SAINT VINCENT & THE GRENADINES	0.009	0.163	0.184	0.354
SAMOA	0.0011	0.452	0.119	0.285
SAN MARINO			0.098	0.088
SAO TOME & PRINCIPE	0.005	0.389	0.38	0.24
SAUDI ARABIA	0.0008	0.31	0.126	0.017
SENEGAL	0.005	0.313	0.38	0.121
SERBIA	0.0002	0.453	0.098	0.088
SEYCHELLES	0.051		0.38	0.336
SIERRA LEONE	0.0165	0.312	0.38	0.196
SINGAPORE	0.0005	0.198	0.119	0.14
SLOVAKIA	0	0.219	0.098	0.214
SLOVENIA	0.0001	0.188	0.098	0.107
SOLOMAN ISLANDS	0.0011	0.284	0.119	0.053
SOMALIA	0.0048	0.472	0.126	0.336
SOUTH AFRICA	0.1867	0.135	0.38	0.216
SOUTH KOREA	0.0001	0.158	0.119	0.091
SOUTH SUDAN	0.0235	0.331	0.38	0.336
SPAIN	0.0017	0.16	0.098	0.135
SRI LANKA	0.0001	0.236	0.085	0.071
SUDAN	0.002	0.312	0.126	0.092
SURINAME	0.0073	0.213	0.184	0.153
SWAZILAND	0.3053	0.192	0.38	0.174
SWEDEN	0.0008	0.187	0.098	0.058
SWITZERLAND	0.0017	0.113	0.098	0.068
SYRIA	0.0008	0.326	0.126	0.017
TAJIKISTAN	0.0018	0.253	0.098	0.094
TANZANIA	0.0558	0.313	0.38	0.762
THAILAND	0.0069	0.076	0.085	0.06
THE BAHAMAS	0.0242	0.144	0.184	0.354
THE GAMBIA	0.0135	0.304	0.38	0.115
TIMOR-LESTE	0.0011	0.301	0.085	0.14
TOGO	0.0258	0.403	0.38	0.196
TONGA	0.0011		0.119	0.285
TRINIDAD & TOBAGO	0.0132	0.258	0.184	0.354
TUNISIA	0.0002	0.223	0.126	0.146
TURKEY	0.0001	0.341	0.098	0.152
